Pl.,Bib,Noc,Name,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
129,20,USA,Braedyn DAVIS,PDS00733,0:21.423,1:04.679,1:30.542,3:21.565,3:34.135,+1:41.110
-,103,COL,Christopher SILVA GALINDO,PDS01194,0:22.511,1:08.205,,,DNF,
-,34,USA,William ARBOGAST,PDS00102,0:25.991,1:10.750,,,DNF,
-,38,USA,Mitch ROPELATO,PDS01245,0:21.843,1:04.838,1:30.762,1:45.922,DNF,
-,47,USA,Matthew MITCHKO,PDS01802,,,,,DNF,
-,127,USA,Alex KNAB,PDS01276,0:23.771,1:15.501,1:45.304,,DNF,
-,145,USA,Colter KNECHT,PDS00175,0:22.481,1:10.071,3:14.334,4:09.752,DNF,
-,156,USA,Jake MOTTE,PDS00403,,,,,DNF,
-,77,CAN,Matt LELIVELD,PDS01828,,,,,DNF,
-,109,ECU,Iker SOTOMAYOR MALLA,PDS01808,0:23.184,,,,DNF,
-,68,USA,Alex ANDERSON,PDS01178,0:23.423,,,,DNF,
-,35,USA,Jack ZENONI,PDS00155,,,,,DNF,
-,81,CAN,Xavier LETENDRE,PDS00135,,,,,DNF,
